ANO,TOTAL_OIL_RECOVERED_BY_YEAR_SM3
1976,142.169
1977,1.506.154
1978,4.602.214
1979,10.379.728
1980,8.128.703
1981,13.374.451
1982,18.762.621
1983,23.212.793
1984,24.798.986
1985,24.591.972
1986,24.399.358
1987,22.385.306
1988,19.864.079
1989,11.758.346
1990,4.395.831
1991,10.616.907
1992,13.569.756
1993,13.705.024
1994,11.484.760
1995,10.294.811
1996,11.014.327
1997,7.310.681
1998,7.258.054
1999,5.460.538
2000,1.856.843
2001,3.249.567
2002,2.674.644
2003,1.482.762
2004,969.505
2005,628.669
2006,502.505
2007,398.089
2008,390.170
2009,400.645
2010,385.279
2011,118.046
2012,56.633
2013,82.387
2014,73.598
2015,21.516
2016,23.253
2017,14.879
2018,31.916
2019,27.438
2020,12.722
2021,2.090